.HEADER
..NAMES
Time,V U1.W14
.DATA
3.00368e-008,0.1940
3.00735e-008,0.2019
3.01102e-008,0.2135
3.01469e-008,0.2320
3.01835e-008,0.2691
3.02202e-008,0.3396
3.02569e-008,0.4591
3.02935e-008,0.6148
3.03302e-008,0.7771
3.03669e-008,0.8959
3.04036e-008,0.9690
3.04403e-008,1.0184
3.04769e-008,1.0623
3.05136e-008,1.1066
3.05503e-008,1.1457
3.05869e-008,1.1731
3.06236e-008,1.1865
3.06603e-008,1.1886
3.06970e-008,1.1855
3.07336e-008,1.1830
3.07703e-008,1.1845
3.08070e-008,1.1906
3.08437e-008,1.1996
3.08804e-008,1.2081
3.09170e-008,1.2133
3.09537e-008,1.2132
3.09904e-008,1.2071
3.10270e-008,1.1958
3.10637e-008,1.1789
3.11004e-008,1.1590
3.11371e-008,1.1316
3.11738e-008,1.0893
3.12104e-008,1.0169
3.12471e-008,0.9012
3.12838e-008,0.7665
3.13205e-008,0.6400
3.13571e-008,0.5282
3.13938e-008,0.4319
3.14305e-008,0.3530
3.14671e-008,0.2938
3.15038e-008,0.2570
3.15405e-008,0.2404
3.15772e-008,0.2392
3.16139e-008,0.2446
3.16505e-008,0.2490
3.16872e-008,0.2479
3.17239e-008,0.2410
3.17605e-008,0.2309
3.17972e-008,0.2206
3.18339e-008,0.2129
3.18706e-008,0.2092
3.19072e-008,0.2099
3.19439e-008,0.2154
3.19806e-008,0.2256
3.20173e-008,0.2422
3.20540e-008,0.2759
3.20906e-008,0.3392
3.21273e-008,0.4489
3.21640e-008,0.5962
3.22006e-008,0.7562
3.22373e-008,0.8829
3.22740e-008,0.9640
3.23107e-008,1.0197
3.23474e-008,1.0665
3.23840e-008,1.1108
3.24207e-008,1.1486
3.24574e-008,1.1739
3.24941e-008,1.1853
3.25307e-008,1.1861
3.25674e-008,1.1825
3.26041e-008,1.1804
3.26407e-008,1.1828
3.26774e-008,1.1896
3.27141e-008,1.1984
3.27508e-008,1.2062
3.27875e-008,1.2110
3.28241e-008,1.2113
3.28608e-008,1.2061
3.28975e-008,1.1958
3.29341e-008,1.1793
3.29708e-008,1.1589
3.30075e-008,1.1324
3.30442e-008,1.0929
3.30808e-008,1.0275
3.31175e-008,0.9191
3.31542e-008,0.7866
3.31909e-008,0.6590
3.32276e-008,0.5438
3.32642e-008,0.4429
3.33009e-008,0.3585
3.33376e-008,0.2949
3.33742e-008,0.2539
3.34109e-008,0.2346
3.34476e-008,0.2319
3.34843e-008,0.2371
3.35210e-008,0.2418
3.35576e-008,0.2408
3.35943e-008,0.2337
3.36310e-008,0.2229
3.36677e-008,0.2119
3.37043e-008,0.2036
3.37410e-008,0.1997
3.37777e-008,0.2006
3.38143e-008,0.2065
3.38510e-008,0.2170
3.38877e-008,0.2322
3.39244e-008,0.2627
3.39611e-008,0.3208
3.39977e-008,0.4241
3.40344e-008,0.5689
3.40711e-008,0.7311
3.41077e-008,0.8659
3.41444e-008,0.9524
3.41811e-008,1.0097
3.42178e-008,1.0565
3.42545e-008,1.1010
3.42911e-008,1.1404
3.43278e-008,1.1675
3.43645e-008,1.1799
3.44012e-008,1.1808
3.44378e-008,1.1767
3.44745e-008,1.1736
3.45112e-008,1.1754
3.45478e-008,1.1820
3.45845e-008,1.1909
3.46212e-008,1.1989
3.46579e-008,1.2033
3.46946e-008,1.2031
3.47312e-008,1.1982
3.47679e-008,1.1893
3.48046e-008,1.1751
3.48412e-008,1.1568
3.48779e-008,1.1326
3.49146e-008,1.0959
3.49513e-008,1.0356
3.49879e-008,0.9338
3.50246e-008,0.8044
3.50613e-008,0.6778
3.50980e-008,0.5627
3.51347e-008,0.4600
3.51713e-008,0.3717
3.52080e-008,0.3030
3.52447e-008,0.2567
3.52813e-008,0.2343
3.53180e-008,0.2302
3.53547e-008,0.2360
3.53914e-008,0.2422
3.54281e-008,0.2425
3.54647e-008,0.2359
3.55014e-008,0.2248
3.55381e-008,0.2132
3.55748e-008,0.2045
3.56114e-008,0.2002
3.56481e-008,0.2008
3.56848e-008,0.2060
3.57214e-008,0.2154
3.57581e-008,0.2301
3.57948e-008,0.2521
3.58315e-008,0.2822
3.58682e-008,0.3166
3.59048e-008,0.3482
3.59415e-008,0.3705
3.59782e-008,0.3810
3.60148e-008,0.3827
3.60515e-008,0.3817
3.60882e-008,0.3850
3.61249e-008,0.3945
3.61615e-008,0.4070
3.61982e-008,0.4168
3.62349e-008,0.4187
3.62716e-008,0.4125
3.63083e-008,0.4023
3.63449e-008,0.3940
3.63816e-008,0.3915
3.64183e-008,0.3954
3.64549e-008,0.4034
3.64916e-008,0.4122
3.65283e-008,0.4190
3.65650e-008,0.4225
3.66017e-008,0.4226
3.66383e-008,0.4203
3.66750e-008,0.4165
3.67117e-008,0.4119
3.67484e-008,0.4067
3.67850e-008,0.4010
3.68217e-008,0.3951
3.68584e-008,0.3889
3.68950e-008,0.3824
3.69317e-008,0.3746
3.69684e-008,0.3651
3.70051e-008,0.3539
3.70418e-008,0.3420
3.70784e-008,0.3316
3.71151e-008,0.3251
3.71518e-008,0.3241
3.71884e-008,0.3282
3.72251e-008,0.3351
3.72618e-008,0.3415
3.72985e-008,0.3448
3.73351e-008,0.3444
3.73718e-008,0.3411
3.74085e-008,0.3368
3.74452e-008,0.3332
