.HEADER
..NAMES
Time,V U1.AD12
.DATA
2.71395e-008,1.1218
2.71762e-008,1.1215
2.72129e-008,1.1159
2.72495e-008,1.1040
2.72862e-008,1.0873
2.73229e-008,1.0679
2.73595e-008,1.0484
2.73962e-008,1.0293
2.74329e-008,1.0129
2.74696e-008,1.0037
2.75062e-008,1.0048
2.75429e-008,1.0140
2.75796e-008,1.0254
2.76163e-008,1.0326
2.76530e-008,1.0322
2.76896e-008,1.0250
2.77263e-008,1.0152
2.77630e-008,1.0077
2.77997e-008,1.0058
2.78363e-008,1.0096
2.78730e-008,1.0162
2.79097e-008,1.0217
2.79463e-008,1.0233
2.79830e-008,1.0209
2.80197e-008,1.0164
2.80564e-008,1.0118
2.80930e-008,1.0089
2.81297e-008,1.0086
2.81664e-008,1.0115
2.82031e-008,1.0169
2.82398e-008,1.0239
2.82764e-008,1.0311
2.83131e-008,1.0385
2.83498e-008,1.0462
2.83865e-008,1.0546
2.84231e-008,1.0632
2.84598e-008,1.0715
2.84965e-008,1.0789
2.85331e-008,1.0854
2.85698e-008,1.0909
2.86065e-008,1.0953
2.86432e-008,1.0981
2.86798e-008,1.0986
2.87165e-008,1.0967
2.87532e-008,1.0928
2.87899e-008,1.0882
2.88266e-008,1.0850
2.88632e-008,1.0845
2.88999e-008,1.0873
2.89366e-008,1.0923
2.89733e-008,1.0978
2.90099e-008,1.1018
2.90466e-008,1.1034
2.90833e-008,1.1023
2.91199e-008,1.1002
2.91566e-008,1.0982
2.91933e-008,1.0983
2.92300e-008,1.1027
2.92666e-008,1.1037
2.93033e-008,1.0891
2.93400e-008,1.0373
2.93767e-008,0.9357
2.94133e-008,0.8060
2.94500e-008,0.6751
2.94867e-008,0.5612
2.95234e-008,0.4752
2.95601e-008,0.4184
2.95967e-008,0.3824
2.96334e-008,0.3589
2.96701e-008,0.3428
2.97068e-008,0.3310
2.97434e-008,0.3220
2.97801e-008,0.3149
2.98168e-008,0.3093
2.98534e-008,0.3046
2.98901e-008,0.3005
2.99268e-008,0.2969
2.99635e-008,0.2941
3.00002e-008,0.2932
3.00368e-008,0.2953
3.00735e-008,0.3023
3.01102e-008,0.3148
3.01469e-008,0.3310
3.01835e-008,0.3496
3.02202e-008,0.3711
3.02569e-008,0.3941
3.02935e-008,0.4140
3.03302e-008,0.4253
3.03669e-008,0.4248
3.04036e-008,0.4142
3.04403e-008,0.3993
3.04769e-008,0.3881
3.05136e-008,0.3855
3.05503e-008,0.3916
3.05869e-008,0.4025
3.06236e-008,0.4123
3.06603e-008,0.4162
3.06970e-008,0.4131
3.07336e-008,0.4058
3.07703e-008,0.3988
3.08070e-008,0.3956
3.08437e-008,0.3971
3.08804e-008,0.4021
3.09170e-008,0.4083
3.09537e-008,0.4131
3.09904e-008,0.4145
3.10270e-008,0.4116
3.10637e-008,0.4079
3.11004e-008,0.4108
3.11371e-008,0.4328
3.11738e-008,0.4919
3.12104e-008,0.5902
3.12471e-008,0.7084
3.12838e-008,0.8209
3.13205e-008,0.8985
3.13571e-008,0.9501
3.13938e-008,0.9862
3.14305e-008,1.0141
3.14671e-008,1.0376
3.15038e-008,1.0581
3.15405e-008,1.0749
3.15772e-008,1.0899
3.16139e-008,1.1041
3.16505e-008,1.1166
3.16872e-008,1.1259
3.17239e-008,1.1308
3.17605e-008,1.1307
3.17972e-008,1.1267
3.18339e-008,1.1199
3.18706e-008,1.1112
3.19072e-008,1.1006
3.19439e-008,1.0882
3.19806e-008,1.0746
3.20173e-008,1.0601
3.20540e-008,1.0442
3.20906e-008,1.0267
3.21273e-008,1.0109
3.21640e-008,1.0030
3.22006e-008,1.0059
3.22373e-008,1.0163
3.22740e-008,1.0273
3.23107e-008,1.0324
3.23474e-008,1.0293
3.23840e-008,1.0204
3.24207e-008,1.0108
3.24574e-008,1.0052
3.24941e-008,1.0059
3.25307e-008,1.0112
3.25674e-008,1.0172
3.26041e-008,1.0202
3.26407e-008,1.0189
3.26774e-008,1.0147
3.27141e-008,1.0103
3.27508e-008,1.0076
3.27875e-008,1.0075
3.28241e-008,1.0100
3.28608e-008,1.0153
3.28975e-008,1.0224
3.29341e-008,1.0303
3.29708e-008,1.0408
3.30075e-008,1.0490
3.30442e-008,1.0438
3.30808e-008,1.0073
3.31175e-008,0.9207
3.31542e-008,0.8008
3.31909e-008,0.6784
3.32276e-008,0.5701
3.32642e-008,0.4861
3.33009e-008,0.4286
3.33376e-008,0.3912
3.33742e-008,0.3644
3.34109e-008,0.3424
3.34476e-008,0.3236
3.34843e-008,0.3080
3.35210e-008,0.2975
3.35576e-008,0.2930
3.35943e-008,0.2938
3.36310e-008,0.2973
3.36677e-008,0.3008
3.37043e-008,0.3023
3.37410e-008,0.3014
3.37777e-008,0.3000
3.38143e-008,0.3016
3.38510e-008,0.3093
3.38877e-008,0.3232
3.39244e-008,0.3418
3.39611e-008,0.3647
3.39977e-008,0.3903
3.40344e-008,0.4129
3.40711e-008,0.4264
3.41077e-008,0.4273
3.41444e-008,0.4175
3.41811e-008,0.4022
3.42178e-008,0.3898
3.42545e-008,0.3855
3.42911e-008,0.3903
3.43278e-008,0.4008
3.43645e-008,0.4117
3.44012e-008,0.4177
3.44378e-008,0.4168
3.44745e-008,0.4108
3.45112e-008,0.4035
3.45478e-008,0.3986
3.45845e-008,0.3978
3.46212e-008,0.4007
3.46579e-008,0.4058
3.46946e-008,0.4110
3.47312e-008,0.4139
3.47679e-008,0.4129
3.48046e-008,0.4091
3.48412e-008,0.4091
3.48779e-008,0.4232
3.49146e-008,0.4679
3.49513e-008,0.5551
3.49879e-008,0.6677
3.50246e-008,0.7871
3.50613e-008,0.8756
3.50980e-008,0.9348
3.51347e-008,0.9753
3.51713e-008,1.0057
3.52080e-008,1.0305
3.52447e-008,1.0521
3.52813e-008,1.0709
3.53180e-008,1.0871
3.53547e-008,1.1016
3.53914e-008,1.1143
3.54281e-008,1.1239
3.54647e-008,1.1290
3.55014e-008,1.1296
3.55381e-008,1.1265
3.55748e-008,1.1208
3.56114e-008,1.1133
3.56481e-008,1.1043
3.56848e-008,1.0931
3.57214e-008,1.0802
3.57581e-008,1.0659
3.57948e-008,1.0502
3.58315e-008,1.0326
3.58682e-008,1.0153
3.59048e-008,1.0039
3.59415e-008,1.0034
3.59782e-008,1.0119
3.60148e-008,1.0235
3.60515e-008,1.0312
3.60882e-008,1.0311
3.61249e-008,1.0240
3.61615e-008,1.0143
3.61982e-008,1.0071
3.62349e-008,1.0054
3.62716e-008,1.0090
3.63083e-008,1.0148
3.63449e-008,1.0189
3.63816e-008,1.0191
3.64183e-008,1.0161
3.64549e-008,1.0120
3.64916e-008,1.0089
3.65283e-008,1.0079
3.65650e-008,1.0094
3.66017e-008,1.0131
3.66383e-008,1.0183
3.66750e-008,1.0242
3.67117e-008,1.0303
3.67484e-008,1.0369
3.67850e-008,1.0448
