.HEADER
..NAMES
Time,V U1.AC10&AB10
.DATA
3.49104e-008,1.1049
3.49490e-008,1.1169
3.49875e-008,1.1186
3.50261e-008,1.1033
3.50647e-008,1.0337
3.51032e-008,0.9058
3.51418e-008,0.7662
3.51804e-008,0.6326
3.52190e-008,0.5142
3.52575e-008,0.4359
3.52961e-008,0.3976
3.53347e-008,0.3815
3.53733e-008,0.3729
3.54119e-008,0.3867
3.54504e-008,0.4188
3.54890e-008,0.4768
3.55276e-008,0.5747
3.55661e-008,0.7187
3.56047e-008,0.8590
3.56433e-008,0.9622
3.56819e-008,1.0307
3.57205e-008,1.0647
3.57590e-008,1.0713
3.57976e-008,1.0749
3.58362e-008,1.0983
3.58747e-008,1.1138
3.59133e-008,1.1198
3.59519e-008,1.1103
3.59905e-008,1.0635
3.60290e-008,0.9496
3.60676e-008,0.8099
3.61062e-008,0.6745
3.61448e-008,0.5483
3.61834e-008,0.4554
3.62219e-008,0.4066
3.62605e-008,0.3846
3.62991e-008,0.3739
3.63376e-008,0.3804
3.63762e-008,0.4062
3.64148e-008,0.4557
3.64534e-008,0.5379
3.64920e-008,0.6700
3.65305e-008,0.8186
3.65691e-008,0.9335
3.66077e-008,1.0128
3.66462e-008,1.0580
3.66848e-008,1.0705
3.67234e-008,1.0735
3.67620e-008,1.0840
3.68006e-008,1.1102
3.68391e-008,1.1196
3.68777e-008,1.1154
3.69163e-008,1.0865
3.69549e-008,0.9908
3.69934e-008,0.8539
3.70320e-008,0.7168
3.70706e-008,0.5858
3.71091e-008,0.4797
3.71477e-008,0.4182
3.71863e-008,0.3893
3.72249e-008,0.3803
3.72635e-008,0.3756
3.73020e-008,0.3958
3.73406e-008,0.4368
3.73792e-008,0.5063
3.74177e-008,0.6236
3.74563e-008,0.7744
3.74949e-008,0.9012
3.75335e-008,0.9915
3.75721e-008,1.0476
3.76106e-008,1.0689
3.76492e-008,1.0721
3.76878e-008,1.0770
3.77263e-008,1.1065
3.77649e-008,1.1180
3.78035e-008,1.1186
3.78421e-008,1.1020
3.78806e-008,1.0278
3.79192e-008,0.8982
3.79578e-008,0.7595
3.79964e-008,0.6259
3.80350e-008,0.5089
3.80735e-008,0.4331
3.81121e-008,0.3963
3.81507e-008,0.3812
3.81892e-008,0.3737
3.82278e-008,0.3883
3.82664e-008,0.4212
3.83050e-008,0.4806
3.83436e-008,0.5809
3.83821e-008,0.7265
3.84207e-008,0.8654
3.84593e-008,0.9665
3.84978e-008,1.0334
3.85364e-008,1.0656
3.85750e-008,1.0715
3.86136e-008,1.0753
3.86521e-008,1.1011
3.86907e-008,1.1153
3.87293e-008,1.1200
3.87679e-008,1.1100
3.88065e-008,1.0588
3.88450e-008,0.9423
3.88836e-008,0.8030
3.89222e-008,0.6678
3.89607e-008,0.5425
3.89993e-008,0.4517
3.90379e-008,0.4050
3.90765e-008,0.3841
3.91151e-008,0.3744
3.91536e-008,0.3818
3.91922e-008,0.4083
3.92308e-008,0.4591
3.92693e-008,0.5433
3.93079e-008,0.6777
3.93465e-008,0.8255
3.93851e-008,0.9384
3.94237e-008,1.0159
3.94622e-008,1.0593
3.95008e-008,1.0707
3.95394e-008,1.0738
3.95780e-008,1.0902
3.96165e-008,1.1117
3.96551e-008,1.1201
3.96937e-008,1.1148
3.97322e-008,1.0832
3.97708e-008,0.9840
3.98094e-008,0.8468
3.98480e-008,0.7102
3.98866e-008,0.5794
3.99251e-008,0.4753
3.99637e-008,0.4163
4.00023e-008,0.3884
4.00408e-008,0.3804
4.00794e-008,0.3769
4.01180e-008,0.3978
4.01566e-008,0.4398
4.01952e-008,0.5109
4.02337e-008,0.6308
4.02723e-008,0.7818
4.03109e-008,0.9069
4.03494e-008,0.9951
4.03880e-008,1.0495
4.04266e-008,1.0693
4.04652e-008,1.0723
4.05037e-008,1.0774
4.05423e-008,1.1064
4.05809e-008,1.1177
4.06195e-008,1.1180
4.06581e-008,1.0996
4.06966e-008,1.0227
4.07352e-008,0.8914
4.07738e-008,0.7523
4.08123e-008,0.6193
4.08509e-008,0.5041
4.08895e-008,0.4304
4.09281e-008,0.3952
4.09667e-008,0.3810
4.10052e-008,0.3734
