.HEADER
..NAMES
Time,V U4.P3
.DATA
2.69561e-008,1.1014
2.69928e-008,1.0978
2.70295e-008,1.0923
2.70662e-008,1.0866
2.71028e-008,1.0824
2.71395e-008,1.0807
2.71762e-008,1.0818
2.72129e-008,1.0850
2.72495e-008,1.0894
2.72862e-008,1.0938
2.73229e-008,1.0972
2.73595e-008,1.0990
2.73962e-008,1.0989
2.74329e-008,1.0974
2.74696e-008,1.0949
2.75062e-008,1.0922
2.75429e-008,1.0898
2.75796e-008,1.0882
2.76163e-008,1.0873
2.76530e-008,1.0870
2.76896e-008,1.0873
2.77263e-008,1.0881
2.77630e-008,1.0893
2.77997e-008,1.0908
2.78363e-008,1.0922
2.78730e-008,1.0932
2.79097e-008,1.0934
2.79463e-008,1.0928
2.79830e-008,1.0916
2.80197e-008,1.0901
2.80564e-008,1.0889
2.80930e-008,1.0883
2.81297e-008,1.0884
2.81664e-008,1.0893
2.82031e-008,1.0904
2.82398e-008,1.0915
2.82764e-008,1.0922
2.83131e-008,1.0922
2.83498e-008,1.0915
2.83865e-008,1.0904
2.84231e-008,1.0891
2.84598e-008,1.0882
2.84965e-008,1.0881
2.85331e-008,1.0889
2.85698e-008,1.0903
2.86065e-008,1.0919
2.86432e-008,1.0930
2.86798e-008,1.0933
2.87165e-008,1.0929
2.87532e-008,1.0922
2.87899e-008,1.0919
2.88266e-008,1.0921
2.88632e-008,1.0902
2.88999e-008,1.0804
2.89366e-008,1.0544
2.89733e-008,1.0059
2.90099e-008,0.9338
2.90466e-008,0.8409
2.90833e-008,0.7354
2.91199e-008,0.6301
2.91566e-008,0.5379
2.91933e-008,0.4681
2.92300e-008,0.4265
2.92666e-008,0.4139
2.93033e-008,0.4246
2.93400e-008,0.4481
2.93767e-008,0.4721
2.94133e-008,0.4863
2.94500e-008,0.4857
2.94867e-008,0.4715
2.95234e-008,0.4490
2.95601e-008,0.4248
2.95967e-008,0.4049
2.96334e-008,0.3918
2.96701e-008,0.3850
2.97068e-008,0.3824
2.97434e-008,0.3825
2.97801e-008,0.3869
2.98168e-008,0.4023
2.98534e-008,0.4365
2.98901e-008,0.4949
2.99268e-008,0.5763
2.99635e-008,0.6739
3.00002e-008,0.7779
3.00368e-008,0.8750
3.00735e-008,0.9516
3.01102e-008,0.9995
3.01469e-008,1.0160
3.01835e-008,1.0039
3.02202e-008,0.9726
3.02569e-008,0.9369
3.02935e-008,0.9112
3.03302e-008,0.9043
3.03669e-008,0.9171
3.04036e-008,0.9433
3.04403e-008,0.9741
3.04769e-008,1.0020
3.05136e-008,1.0223
3.05503e-008,1.0340
3.05869e-008,1.0392
3.06236e-008,1.0416
3.06603e-008,1.0457
3.06970e-008,1.0544
3.07336e-008,1.0662
3.07703e-008,1.0727
3.08070e-008,1.0604
3.08437e-008,1.0183
3.08804e-008,0.9439
3.09170e-008,0.8409
3.09537e-008,0.7210
3.09904e-008,0.6028
3.10270e-008,0.5040
3.10637e-008,0.4355
3.11004e-008,0.4029
3.11371e-008,0.4047
3.11738e-008,0.4312
3.12104e-008,0.4675
3.12471e-008,0.4978
3.12838e-008,0.5107
3.13205e-008,0.5032
3.13571e-008,0.4799
3.13938e-008,0.4496
3.14305e-008,0.4212
3.14671e-008,0.4013
3.15038e-008,0.3917
3.15405e-008,0.3898
3.15772e-008,0.3907
3.16139e-008,0.3907
3.16505e-008,0.3898
3.16872e-008,0.3948
3.17239e-008,0.4162
3.17605e-008,0.4630
3.17972e-008,0.5373
3.18339e-008,0.6339
3.18706e-008,0.7429
3.19072e-008,0.8497
3.19439e-008,0.9383
3.19806e-008,0.9976
3.20173e-008,1.0231
3.20540e-008,1.0161
3.20906e-008,0.9853
3.21273e-008,0.9461
3.21640e-008,0.9146
3.22006e-008,0.9019
3.22373e-008,0.9107
3.22740e-008,0.9354
3.23107e-008,0.9665
3.23474e-008,0.9957
3.23840e-008,1.0176
3.24207e-008,1.0306
3.24574e-008,1.0365
3.24941e-008,1.0392
3.25307e-008,1.0433
3.25674e-008,1.0520
