.HEADER
..NAMES
Time,V U4.B8
.DATA
3.60290e-008,1.1702
3.60676e-008,1.1724
3.61062e-008,1.1760
3.61448e-008,1.1829
3.61834e-008,1.1813
3.62219e-008,1.1562
3.62605e-008,1.0871
3.62991e-008,0.9716
3.63376e-008,0.8470
3.63762e-008,0.7356
3.64148e-008,0.6315
3.64534e-008,0.5419
3.64920e-008,0.4760
3.65305e-008,0.4337
3.65691e-008,0.4037
3.66077e-008,0.3808
3.66462e-008,0.3663
3.66848e-008,0.3575
3.67234e-008,0.3505
3.67620e-008,0.3402
3.68006e-008,0.3273
3.68391e-008,0.3199
3.68777e-008,0.3188
3.69163e-008,0.3184
3.69549e-008,0.3179
3.69934e-008,0.3198
3.70320e-008,0.3233
3.70706e-008,0.3290
3.71091e-008,0.3475
3.71477e-008,0.3952
3.71863e-008,0.4834
3.72249e-008,0.6039
3.72635e-008,0.7317
3.73020e-008,0.8302
3.73406e-008,0.8995
3.73792e-008,0.9608
3.74177e-008,1.0135
3.74563e-008,1.0545
3.74949e-008,1.0880
3.75335e-008,1.1369
3.75721e-008,1.1601
3.76106e-008,1.1479
3.76492e-008,1.1172
3.76878e-008,1.0434
3.77263e-008,0.9318
3.77649e-008,0.8102
3.78035e-008,0.6918
3.78421e-008,0.5861
3.78806e-008,0.5063
3.79192e-008,0.4537
3.79578e-008,0.4175
3.79964e-008,0.3913
3.80350e-008,0.3759
3.80735e-008,0.3625
3.81121e-008,0.3504
3.81507e-008,0.3437
3.81892e-008,0.3357
3.82278e-008,0.3261
3.82664e-008,0.3194
3.83050e-008,0.3166
3.83436e-008,0.3157
3.83821e-008,0.3174
3.84207e-008,0.3213
3.84593e-008,0.3236
3.84978e-008,0.3240
3.85364e-008,0.3243
3.85750e-008,0.3236
3.86136e-008,0.3226
3.86521e-008,0.3225
3.86907e-008,0.3221
3.87293e-008,0.3210
3.87679e-008,0.3202
3.88065e-008,0.3205
3.88450e-008,0.3209
3.88836e-008,0.3212
3.89222e-008,0.3217
3.89607e-008,0.3216
3.89993e-008,0.3211
3.90379e-008,0.3209
3.90765e-008,0.3207
3.91151e-008,0.3206
3.91536e-008,0.3208
3.91922e-008,0.3209
3.92308e-008,0.3207
3.92693e-008,0.3206
3.93079e-008,0.3207
3.93465e-008,0.3209
3.93851e-008,0.3219
3.94237e-008,0.3291
3.94622e-008,0.3518
3.95008e-008,0.4063
3.95394e-008,0.5024
3.95780e-008,0.6287
3.96165e-008,0.7558
3.96551e-008,0.8474
3.96937e-008,0.9129
3.97322e-008,0.9713
3.97708e-008,1.0218
3.98094e-008,1.0606
3.98480e-008,1.0874
3.98866e-008,1.1067
3.99251e-008,1.1191
3.99637e-008,1.1277
4.00023e-008,1.1377
4.00408e-008,1.1509
4.00794e-008,1.1650
4.01180e-008,1.1734
4.01566e-008,1.1723
4.01952e-008,1.1688
4.02337e-008,1.1690
4.02723e-008,1.1712
4.03109e-008,1.1727
4.03494e-008,1.1732
4.03880e-008,1.1738
4.04266e-008,1.1737
4.04652e-008,1.1733
4.05037e-008,1.1741
4.05423e-008,1.1759
4.05809e-008,1.1778
4.06195e-008,1.1783
4.06581e-008,1.1768
4.06966e-008,1.1754
4.07352e-008,1.1758
4.07738e-008,1.1768
4.08123e-008,1.1771
4.08509e-008,1.1771
4.08895e-008,1.1772
4.09281e-008,1.1770
4.09667e-008,1.1767
4.10052e-008,1.1768
4.10438e-008,1.1773
4.10824e-008,1.1776
