.HEADER
..NAMES
Time,V U5.P7
.DATA
3.43278e-008,1.0114
3.43645e-008,1.0321
3.44012e-008,1.0423
3.44378e-008,1.0279
3.44745e-008,0.9753
3.45112e-008,0.8842
3.45478e-008,0.7677
3.45845e-008,0.6453
3.46212e-008,0.5425
3.46579e-008,0.4793
3.46946e-008,0.4573
3.47312e-008,0.4640
3.47679e-008,0.4806
3.48046e-008,0.4901
3.48412e-008,0.4852
3.48779e-008,0.4681
3.49146e-008,0.4461
3.49513e-008,0.4285
3.49879e-008,0.4211
3.50246e-008,0.4241
3.50613e-008,0.4332
3.50980e-008,0.4425
3.51347e-008,0.4474
3.51713e-008,0.4463
3.52080e-008,0.4387
3.52447e-008,0.4263
3.52813e-008,0.4157
3.53180e-008,0.4180
3.53547e-008,0.4482
3.53914e-008,0.5177
3.54281e-008,0.6255
3.54647e-008,0.7533
3.55014e-008,0.8733
3.55381e-008,0.9593
3.55748e-008,0.9949
3.56114e-008,0.9825
3.56481e-008,0.9446
3.56848e-008,0.9078
3.57214e-008,0.8914
3.57581e-008,0.9017
3.57948e-008,0.9315
3.58315e-008,0.9678
3.58682e-008,0.9977
3.59048e-008,1.0128
3.59415e-008,1.0118
3.59782e-008,0.9997
3.60148e-008,0.9841
3.60515e-008,0.9720
3.60882e-008,0.9679
3.61249e-008,0.9728
3.61615e-008,0.9862
3.61982e-008,1.0049
3.62349e-008,1.0241
3.62716e-008,1.0400
3.63083e-008,1.0502
3.63449e-008,1.0543
3.63816e-008,1.0547
3.64183e-008,1.0559
3.64549e-008,1.0623
3.64916e-008,1.0760
3.65283e-008,1.0948
3.65650e-008,1.1130
3.66017e-008,1.1242
3.66383e-008,1.1244
3.66750e-008,1.1140
3.67117e-008,1.0975
3.67484e-008,1.0818
3.67850e-008,1.0730
3.68217e-008,1.0740
3.68584e-008,1.0837
3.68950e-008,1.0977
3.69317e-008,1.1104
3.69684e-008,1.1175
3.70051e-008,1.1171
3.70418e-008,1.1106
3.70784e-008,1.1010
3.71151e-008,1.0917
3.71518e-008,1.0851
3.71884e-008,1.0821
3.72251e-008,1.0825
3.72618e-008,1.0851
3.72985e-008,1.0887
3.73351e-008,1.0920
3.73718e-008,1.0940
3.74085e-008,1.0943
3.74452e-008,1.0934
3.74819e-008,1.0922
3.75185e-008,1.0920
3.75552e-008,1.0934
3.75919e-008,1.0962
3.76285e-008,1.0991
3.76652e-008,1.1006
3.77019e-008,1.0999
3.77386e-008,1.0968
3.77753e-008,1.0924
3.78119e-008,1.0882
3.78486e-008,1.0860
3.78853e-008,1.0866
3.79220e-008,1.0897
3.79586e-008,1.0940
3.79953e-008,1.0981
3.80320e-008,1.1004
3.80686e-008,1.1012
3.81053e-008,1.1002
3.81420e-008,1.0950
3.81787e-008,1.0785
3.82154e-008,1.0394
3.82520e-008,0.9691
3.82887e-008,0.8691
3.83254e-008,0.7486
3.83620e-008,0.6262
3.83987e-008,0.5253
3.84354e-008,0.4613
3.84721e-008,0.4364
3.85088e-008,0.4417
3.85454e-008,0.4607
3.85821e-008,0.4777
3.86188e-008,0.4833
3.86555e-008,0.4755
3.86921e-008,0.4585
3.87288e-008,0.4395
3.87655e-008,0.4244
3.88021e-008,0.4164
3.88388e-008,0.4154
3.88755e-008,0.4190
3.89122e-008,0.4244
3.89489e-008,0.4286
3.89855e-008,0.4286
3.90222e-008,0.4233
3.90589e-008,0.4135
