.HEADER
..NAMES
Time,V U3.R2
.DATA
3.26041e-008,0.3479
3.26407e-008,0.3511
3.26774e-008,0.3590
3.27141e-008,0.3654
3.27508e-008,0.3664
3.27875e-008,0.3605
3.28241e-008,0.3492
3.28608e-008,0.3360
3.28975e-008,0.3252
3.29341e-008,0.3201
3.29708e-008,0.3215
3.30075e-008,0.3282
3.30442e-008,0.3369
3.30808e-008,0.3438
3.31175e-008,0.3462
3.31542e-008,0.3432
3.31909e-008,0.3357
3.32276e-008,0.3261
3.32642e-008,0.3173
3.33009e-008,0.3117
3.33376e-008,0.3106
3.33742e-008,0.3135
3.34109e-008,0.3189
3.34476e-008,0.3244
3.34843e-008,0.3281
3.35210e-008,0.3288
3.35576e-008,0.3275
3.35943e-008,0.3269
3.36310e-008,0.3320
3.36677e-008,0.3490
3.37043e-008,0.3830
3.37410e-008,0.4358
3.37777e-008,0.5060
3.38143e-008,0.5897
3.38510e-008,0.6807
3.38877e-008,0.7698
3.39244e-008,0.8458
3.39611e-008,0.9009
3.39977e-008,0.9338
3.40344e-008,0.9483
3.40711e-008,0.9497
3.41077e-008,0.9446
3.41444e-008,0.9403
3.41811e-008,0.9433
3.42178e-008,0.9571
3.42545e-008,0.9805
3.42911e-008,1.0088
3.43278e-008,1.0356
3.43645e-008,1.0562
3.44012e-008,1.0687
3.44378e-008,1.0735
3.44745e-008,1.0723
3.45112e-008,1.0680
3.45478e-008,1.0646
3.45845e-008,1.0650
3.46212e-008,1.0699
3.46579e-008,1.0778
3.46946e-008,1.0862
3.47312e-008,1.0924
3.47679e-008,1.0946
3.48046e-008,1.0928
3.48412e-008,1.0883
3.48779e-008,1.0836
3.49146e-008,1.0810
3.49513e-008,1.0819
3.49879e-008,1.0865
3.50246e-008,1.0935
3.50613e-008,1.1012
3.50980e-008,1.1073
3.51347e-008,1.1103
3.51713e-008,1.1095
3.52080e-008,1.1057
3.52447e-008,1.1007
3.52813e-008,1.0965
3.53180e-008,1.0944
3.53547e-008,1.0951
3.53914e-008,1.0979
3.54281e-008,1.1017
3.54647e-008,1.1049
3.55014e-008,1.1061
3.55381e-008,1.1048
3.55748e-008,1.1011
3.56114e-008,1.0960
3.56481e-008,1.0910
3.56848e-008,1.0873
3.57214e-008,1.0857
3.57581e-008,1.0864
3.57948e-008,1.0887
3.58315e-008,1.0917
3.58682e-008,1.0944
3.59048e-008,1.0959
3.59415e-008,1.0960
