.HEADER
..NAMES
Time,V U3.R3
.DATA
3.05136e-008,0.9715
3.05503e-008,0.9997
3.05869e-008,1.0351
3.06236e-008,1.0708
3.06603e-008,1.0993
3.06970e-008,1.1146
3.07336e-008,1.1149
3.07703e-008,1.1027
3.08070e-008,1.0835
3.08437e-008,1.0644
3.08804e-008,1.0517
3.09170e-008,1.0490
3.09537e-008,1.0563
3.09904e-008,1.0703
3.10270e-008,1.0865
3.10637e-008,1.1004
3.11004e-008,1.1089
3.11371e-008,1.1105
3.11738e-008,1.1058
3.12104e-008,1.0971
3.12471e-008,1.0879
3.12838e-008,1.0816
3.13205e-008,1.0804
3.13571e-008,1.0850
3.13938e-008,1.0937
3.14305e-008,1.1036
3.14671e-008,1.1115
3.15038e-008,1.1150
3.15405e-008,1.1134
3.15772e-008,1.1078
3.16139e-008,1.1002
3.16505e-008,1.0930
3.16872e-008,1.0879
3.17239e-008,1.0861
3.17605e-008,1.0875
3.17972e-008,1.0912
3.18339e-008,1.0956
3.18706e-008,1.0991
3.19072e-008,1.1003
3.19439e-008,1.0985
3.19806e-008,1.0941
3.20173e-008,1.0884
3.20540e-008,1.0832
3.20906e-008,1.0803
3.21273e-008,1.0803
3.21640e-008,1.0831
3.22006e-008,1.0878
3.22373e-008,1.0928
3.22740e-008,1.0969
3.23107e-008,1.0991
3.23474e-008,1.0989
3.23840e-008,1.0965
3.24207e-008,1.0926
3.24574e-008,1.0883
3.24941e-008,1.0847
3.25307e-008,1.0827
3.25674e-008,1.0829
3.26041e-008,1.0851
3.26407e-008,1.0885
3.26774e-008,1.0921
3.27141e-008,1.0949
3.27508e-008,1.0963
3.27875e-008,1.0961
3.28241e-008,1.0944
3.28608e-008,1.0919
3.28975e-008,1.0892
3.29341e-008,1.0870
3.29708e-008,1.0859
3.30075e-008,1.0859
3.30442e-008,1.0871
3.30808e-008,1.0890
3.31175e-008,1.0911
3.31542e-008,1.0928
3.31909e-008,1.0936
3.32276e-008,1.0935
3.32642e-008,1.0924
3.33009e-008,1.0908
3.33376e-008,1.0892
3.33742e-008,1.0881
3.34109e-008,1.0877
3.34476e-008,1.0881
3.34843e-008,1.0892
3.35210e-008,1.0905
3.35576e-008,1.0919
3.35943e-008,1.0928
3.36310e-008,1.0930
3.36677e-008,1.0926
3.37043e-008,1.0916
3.37410e-008,1.0903
3.37777e-008,1.0892
3.38143e-008,1.0886
3.38510e-008,1.0886
3.38877e-008,1.0893
3.39244e-008,1.0903
3.39611e-008,1.0914
3.39977e-008,1.0923
3.40344e-008,1.0926
3.40711e-008,1.0923
3.41077e-008,1.0915
3.41444e-008,1.0906
3.41811e-008,1.0897
3.42178e-008,1.0891
3.42545e-008,1.0890
3.42911e-008,1.0894
3.43278e-008,1.0902
3.43645e-008,1.0912
3.44012e-008,1.0920
3.44378e-008,1.0924
3.44745e-008,1.0923
3.45112e-008,1.0917
3.45478e-008,1.0908
3.45845e-008,1.0900
3.46212e-008,1.0894
3.46579e-008,1.0892
3.46946e-008,1.0895
3.47312e-008,1.0901
3.47679e-008,1.0909
3.48046e-008,1.0916
3.48412e-008,1.0921
3.48779e-008,1.0921
3.49146e-008,1.0917
3.49513e-008,1.0911
3.49879e-008,1.0904
3.50246e-008,1.0898
3.50613e-008,1.0895
3.50980e-008,1.0896
3.51347e-008,1.0901
3.51713e-008,1.0907
3.52080e-008,1.0913
3.52447e-008,1.0916
3.52813e-008,1.0917
3.53180e-008,1.0915
3.53547e-008,1.0911
3.53914e-008,1.0906
3.54281e-008,1.0902
3.54647e-008,1.0900
3.55014e-008,1.0900
3.55381e-008,1.0902
3.55748e-008,1.0906
3.56114e-008,1.0910
3.56481e-008,1.0913
3.56848e-008,1.0914
3.57214e-008,1.0913
3.57581e-008,1.0911
3.57948e-008,1.0907
3.58315e-008,1.0904
3.58682e-008,1.0902
3.59048e-008,1.0902
3.59415e-008,1.0903
3.59782e-008,1.0906
3.60148e-008,1.0908
3.60515e-008,1.0910
3.60882e-008,1.0912
3.61249e-008,1.0911
3.61615e-008,1.0910
3.61982e-008,1.0908
3.62349e-008,1.0906
3.62716e-008,1.0904
3.63083e-008,1.0904
3.63449e-008,1.0904
3.63816e-008,1.0906
3.64183e-008,1.0907
3.64549e-008,1.0909
3.64916e-008,1.0910
3.65283e-008,1.0910
3.65650e-008,1.0909
3.66017e-008,1.0908
3.66383e-008,1.0907
3.66750e-008,1.0905
3.67117e-008,1.0905
3.67484e-008,1.0905
3.67850e-008,1.0905
3.68217e-008,1.0907
3.68584e-008,1.0908
3.68950e-008,1.0909
3.69317e-008,1.0909
3.69684e-008,1.0909
3.70051e-008,1.0908
3.70418e-008,1.0907
3.70784e-008,1.0906
3.71151e-008,1.0906
3.71518e-008,1.0905
3.71884e-008,1.0906
3.72251e-008,1.0906
3.72618e-008,1.0907
3.72985e-008,1.0908
3.73351e-008,1.0908
3.73718e-008,1.0908
3.74085e-008,1.0908
3.74452e-008,1.0908
3.74819e-008,1.0907
3.75185e-008,1.0906
3.75552e-008,1.0906
