.HEADER
..NAMES
Time,V U5.N2
.DATA
3.75919e-008,1.1129
3.76285e-008,1.1081
3.76652e-008,1.0979
3.77019e-008,1.0874
3.77386e-008,1.0814
3.77753e-008,1.0822
3.78119e-008,1.0886
3.78486e-008,1.0976
3.78853e-008,1.1056
3.79220e-008,1.1102
3.79586e-008,1.1101
3.79953e-008,1.1056
3.80320e-008,1.0987
3.80686e-008,1.0917
3.81053e-008,1.0868
3.81420e-008,1.0851
3.81787e-008,1.0862
3.82154e-008,1.0889
3.82520e-008,1.0920
3.82887e-008,1.0941
3.83254e-008,1.0947
3.83620e-008,1.0935
3.83987e-008,1.0912
3.84354e-008,1.0890
3.84721e-008,1.0880
3.85088e-008,1.0890
3.85454e-008,1.0917
3.85821e-008,1.0951
3.86188e-008,1.0980
3.86555e-008,1.0992
3.86921e-008,1.0984
3.87288e-008,1.0957
3.87655e-008,1.0922
3.88021e-008,1.0893
3.88388e-008,1.0881
3.88755e-008,1.0889
3.89122e-008,1.0912
3.89489e-008,1.0939
3.89855e-008,1.0958
3.90222e-008,1.0962
3.90589e-008,1.0950
