.HEADER
..NAMES
Time,V U3.P2
.DATA
3.74452e-008,0.3573
3.74819e-008,0.3994
3.75185e-008,0.4607
3.75552e-008,0.5384
3.75919e-008,0.6273
3.76285e-008,0.7192
3.76652e-008,0.8035
3.77019e-008,0.8697
3.77386e-008,0.9136
3.77753e-008,0.9367
3.78119e-008,0.9445
3.78486e-008,0.9428
3.78853e-008,0.9391
3.79220e-008,0.9406
3.79586e-008,0.9516
3.79953e-008,0.9721
3.80320e-008,0.9984
3.80686e-008,1.0246
3.81053e-008,1.0461
3.81420e-008,1.0601
3.81787e-008,1.0667
3.82154e-008,1.0670
3.82520e-008,1.0638
3.82887e-008,1.0608
3.83254e-008,1.0613
3.83620e-008,1.0662
3.83987e-008,1.0740
3.84354e-008,1.0825
3.84721e-008,1.0893
3.85088e-008,1.0927
3.85454e-008,1.0919
3.85821e-008,1.0877
3.86188e-008,1.0827
3.86555e-008,1.0794
3.86921e-008,1.0796
3.87288e-008,1.0836
3.87655e-008,1.0903
3.88021e-008,1.0979
3.88388e-008,1.1043
3.88755e-008,1.1078
3.89122e-008,1.1077
3.89489e-008,1.1044
3.89855e-008,1.0995
3.90222e-008,1.0952
3.90589e-008,1.0929
