.HEADER
..NAMES
Time,V U2.L3
.DATA
3.16872e-008,1.0642
3.17239e-008,1.0789
3.17605e-008,1.0863
3.17972e-008,1.0865
3.18339e-008,1.0808
3.18706e-008,1.0725
3.19072e-008,1.0659
3.19439e-008,1.0651
3.19806e-008,1.0714
3.20173e-008,1.0820
3.20540e-008,1.0922
3.20906e-008,1.0984
3.21273e-008,1.0999
3.21640e-008,1.0976
3.22006e-008,1.0935
3.22373e-008,1.0888
3.22740e-008,1.0849
3.23107e-008,1.0835
3.23474e-008,1.0858
3.23840e-008,1.0915
3.24207e-008,1.0985
3.24574e-008,1.1037
3.24941e-008,1.1055
3.25307e-008,1.1039
3.25674e-008,1.1004
3.26041e-008,1.0967
3.26407e-008,1.0938
3.26774e-008,1.0919
3.27141e-008,1.0913
3.27508e-008,1.0921
3.27875e-008,1.0932
3.28241e-008,1.0914
3.28608e-008,1.0821
3.28975e-008,1.0607
3.29341e-008,1.0241
3.29708e-008,0.9707
3.30075e-008,0.8996
3.30442e-008,0.8128
3.30808e-008,0.7154
3.31175e-008,0.6152
3.31542e-008,0.5218
3.31909e-008,0.4441
3.32276e-008,0.3879
3.32642e-008,0.3549
3.33009e-008,0.3437
3.33376e-008,0.3494
3.33742e-008,0.3648
3.34109e-008,0.3815
3.34476e-008,0.3921
3.34843e-008,0.3928
3.35210e-008,0.3839
3.35576e-008,0.3689
3.35943e-008,0.3525
3.36310e-008,0.3388
3.36677e-008,0.3310
3.37043e-008,0.3318
3.37410e-008,0.3439
3.37777e-008,0.3693
3.38143e-008,0.4088
3.38510e-008,0.4620
3.38877e-008,0.5282
3.39244e-008,0.6076
3.39611e-008,0.6984
3.39977e-008,0.7945
3.40344e-008,0.8867
3.40711e-008,0.9651
3.41077e-008,1.0225
3.41444e-008,1.0561
3.41811e-008,1.0672
3.42178e-008,1.0601
3.42545e-008,1.0412
3.42911e-008,1.0193
3.43278e-008,1.0038
3.43645e-008,1.0010
3.44012e-008,1.0120
3.44378e-008,1.0321
3.44745e-008,1.0541
3.45112e-008,1.0723
3.45478e-008,1.0837
3.45845e-008,1.0878
3.46212e-008,1.0855
3.46579e-008,1.0785
3.46946e-008,1.0683
3.47312e-008,1.0555
3.47679e-008,1.0387
3.48046e-008,1.0142
3.48412e-008,0.9753
3.48779e-008,0.9151
3.49146e-008,0.8319
3.49513e-008,0.7313
3.49879e-008,0.6233
3.50246e-008,0.5204
3.50613e-008,0.4342
3.50980e-008,0.3724
3.51347e-008,0.3389
3.51713e-008,0.3331
3.52080e-008,0.3488
3.52447e-008,0.3751
3.52813e-008,0.3996
3.53180e-008,0.4130
3.53547e-008,0.4116
3.53914e-008,0.3981
3.54281e-008,0.3781
3.54647e-008,0.3575
3.55014e-008,0.3406
3.55381e-008,0.3309
3.55748e-008,0.3308
3.56114e-008,0.3420
3.56481e-008,0.3654
3.56848e-008,0.4005
3.57214e-008,0.4467
3.57581e-008,0.5046
3.57948e-008,0.5766
3.58315e-008,0.6632
3.58682e-008,0.7597
3.59048e-008,0.8564
3.59415e-008,0.9426
3.59782e-008,1.0095
3.60148e-008,1.0524
3.60515e-008,1.0713
3.60882e-008,1.0691
3.61249e-008,1.0513
3.61615e-008,1.0269
3.61982e-008,1.0066
3.62349e-008,0.9987
3.62716e-008,1.0057
3.63083e-008,1.0240
3.63449e-008,1.0464
3.63816e-008,1.0664
3.64183e-008,1.0805
3.64549e-008,1.0875
3.64916e-008,1.0878
3.65283e-008,1.0823
3.65650e-008,1.0726
3.66017e-008,1.0597
3.66383e-008,1.0428
3.66750e-008,1.0191
3.67117e-008,0.9824
3.67484e-008,0.9255
3.67850e-008,0.8459
3.68217e-008,0.7478
3.68584e-008,0.6406
3.68950e-008,0.5364
3.69317e-008,0.4468
3.69684e-008,0.3804
3.70051e-008,0.3416
3.70418e-008,0.3308
3.70784e-008,0.3431
3.71151e-008,0.3684
3.71518e-008,0.3944
3.71884e-008,0.4109
3.72251e-008,0.4131
3.72618e-008,0.4022
3.72985e-008,0.3835
3.73351e-008,0.3627
3.73718e-008,0.3444
3.74085e-008,0.3321
3.74452e-008,0.3274
3.74819e-008,0.3299
3.75185e-008,0.3368
3.75552e-008,0.3435
3.75919e-008,0.3460
3.76285e-008,0.3429
3.76652e-008,0.3361
3.77019e-008,0.3290
3.77386e-008,0.3245
3.77753e-008,0.3234
3.78119e-008,0.3253
3.78486e-008,0.3291
3.78853e-008,0.3334
3.79220e-008,0.3367
3.79586e-008,0.3374
3.79953e-008,0.3343
3.80320e-008,0.3279
3.80686e-008,0.3202
3.81053e-008,0.3139
3.81420e-008,0.3111
3.81787e-008,0.3121
3.82154e-008,0.3157
3.82520e-008,0.3204
3.82887e-008,0.3250
3.83254e-008,0.3285
3.83620e-008,0.3304
3.83987e-008,0.3304
3.84354e-008,0.3290
3.84721e-008,0.3271
3.85088e-008,0.3261
3.85454e-008,0.3269
3.85821e-008,0.3294
3.86188e-008,0.3327
3.86555e-008,0.3357
3.86921e-008,0.3375
3.87288e-008,0.3377
3.87655e-008,0.3364
3.88021e-008,0.3338
3.88388e-008,0.3306
3.88755e-008,0.3275
3.89122e-008,0.3253
3.89489e-008,0.3245
3.89855e-008,0.3253
3.90222e-008,0.3272
3.90589e-008,0.3296
