.HEADER
..NAMES
Time,V U3.L2
.DATA
3.42911e-008,1.0865
3.43278e-008,1.0872
3.43645e-008,1.0897
3.44012e-008,1.0932
3.44378e-008,1.0966
3.44745e-008,1.0990
3.45112e-008,1.0998
3.45478e-008,1.0987
3.45845e-008,1.0942
3.46212e-008,1.0832
3.46579e-008,1.0612
3.46946e-008,1.0244
3.47312e-008,0.9709
3.47679e-008,0.9002
3.48046e-008,0.8139
3.48412e-008,0.7184
3.48779e-008,0.6231
3.49146e-008,0.5369
3.49513e-008,0.4685
3.49879e-008,0.4240
3.50246e-008,0.4047
3.50613e-008,0.4057
3.50980e-008,0.4186
3.51347e-008,0.4335
3.51713e-008,0.4412
3.52080e-008,0.4362
3.52447e-008,0.4176
3.52813e-008,0.3884
3.53180e-008,0.3548
3.53547e-008,0.3245
3.53914e-008,0.3042
3.54281e-008,0.2972
3.54647e-008,0.3034
3.55014e-008,0.3190
3.55381e-008,0.3379
3.55748e-008,0.3539
3.56114e-008,0.3625
3.56481e-008,0.3620
3.56848e-008,0.3540
3.57214e-008,0.3423
3.57581e-008,0.3312
3.57948e-008,0.3237
3.58315e-008,0.3216
3.58682e-008,0.3244
3.59048e-008,0.3299
3.59415e-008,0.3354
3.59782e-008,0.3382
3.60148e-008,0.3371
3.60515e-008,0.3321
3.60882e-008,0.3247
3.61249e-008,0.3174
3.61615e-008,0.3125
3.61982e-008,0.3117
3.62349e-008,0.3150
3.62716e-008,0.3209
3.63083e-008,0.3271
3.63449e-008,0.3316
3.63816e-008,0.3332
3.64183e-008,0.3319
3.64549e-008,0.3286
3.64916e-008,0.3249
3.65283e-008,0.3223
3.65650e-008,0.3218
3.66017e-008,0.3238
3.66383e-008,0.3278
3.66750e-008,0.3327
3.67117e-008,0.3368
3.67484e-008,0.3389
3.67850e-008,0.3381
3.68217e-008,0.3346
3.68584e-008,0.3297
3.68950e-008,0.3248
3.69317e-008,0.3212
3.69684e-008,0.3200
3.70051e-008,0.3210
3.70418e-008,0.3238
3.70784e-008,0.3274
3.71151e-008,0.3308
3.71518e-008,0.3332
3.71884e-008,0.3340
3.72251e-008,0.3331
3.72618e-008,0.3308
3.72985e-008,0.3283
3.73351e-008,0.3275
3.73718e-008,0.3318
3.74085e-008,0.3460
3.74452e-008,0.3745
3.74819e-008,0.4201
3.75185e-008,0.4827
3.75552e-008,0.5597
3.75919e-008,0.6468
3.76285e-008,0.7375
3.76652e-008,0.8228
3.77019e-008,0.8939
3.77386e-008,0.9451
3.77753e-008,0.9746
3.78119e-008,0.9846
3.78486e-008,0.9813
3.78853e-008,0.9737
3.79220e-008,0.9702
3.79586e-008,0.9759
3.79953e-008,0.9925
3.80320e-008,1.0179
3.80686e-008,1.0474
3.81053e-008,1.0756
3.81420e-008,1.0969
3.81787e-008,1.1074
3.82154e-008,1.1061
3.82520e-008,1.0958
3.82887e-008,1.0813
3.83254e-008,1.0682
3.83620e-008,1.0608
3.83987e-008,1.0611
3.84354e-008,1.0677
3.84721e-008,1.0777
3.85088e-008,1.0873
3.85454e-008,1.0937
3.85821e-008,1.0956
3.86188e-008,1.0934
3.86555e-008,1.0888
3.86921e-008,1.0841
3.87288e-008,1.0815
3.87655e-008,1.0826
3.88021e-008,1.0874
3.88388e-008,1.0945
3.88755e-008,1.1019
3.89122e-008,1.1070
3.89489e-008,1.1083
3.89855e-008,1.1055
3.90222e-008,1.0999
3.90589e-008,1.0936
