.HEADER
..NAMES
Time,V U2.T8
.DATA
2.84598e-008,0.5494
2.84965e-008,0.4759
2.85331e-008,0.4153
2.85698e-008,0.3722
2.86065e-008,0.3476
2.86432e-008,0.3400
2.86798e-008,0.3461
2.87165e-008,0.3612
2.87532e-008,0.3796
2.87899e-008,0.3959
2.88266e-008,0.4056
2.88632e-008,0.4060
2.88999e-008,0.3971
2.89366e-008,0.3809
2.89733e-008,0.3615
2.90099e-008,0.3445
2.90466e-008,0.3373
2.90833e-008,0.3463
2.91199e-008,0.3736
2.91566e-008,0.4185
2.91933e-008,0.4799
2.92300e-008,0.5580
2.92666e-008,0.6502
2.93033e-008,0.7480
2.93400e-008,0.8403
2.93767e-008,0.9195
2.94133e-008,0.9830
2.94500e-008,1.0294
2.94867e-008,1.0571
2.95234e-008,1.0667
2.95601e-008,1.0623
2.95967e-008,1.0493
2.96334e-008,1.0330
2.96701e-008,1.0182
2.97068e-008,1.0088
2.97434e-008,1.0074
2.97801e-008,1.0147
2.98168e-008,1.0291
2.98534e-008,1.0474
2.98901e-008,1.0661
2.99268e-008,1.0822
2.99635e-008,1.0928
3.00002e-008,1.0945
3.00368e-008,1.0843
3.00735e-008,1.0612
3.01102e-008,1.0261
3.01469e-008,0.9786
3.01835e-008,0.9163
3.02202e-008,0.8386
3.02569e-008,0.7515
3.02935e-008,0.6628
3.03302e-008,0.5774
3.03669e-008,0.4985
3.04036e-008,0.4308
3.04403e-008,0.3796
3.04769e-008,0.3477
3.05136e-008,0.3349
3.05503e-008,0.3383
3.05869e-008,0.3534
3.06236e-008,0.3738
3.06603e-008,0.3931
3.06970e-008,0.4061
3.07336e-008,0.4094
3.07703e-008,0.4025
3.08070e-008,0.3873
3.08437e-008,0.3676
3.08804e-008,0.3490
3.09170e-008,0.3388
3.09537e-008,0.3436
3.09904e-008,0.3670
3.10270e-008,0.4085
3.10637e-008,0.4672
3.11004e-008,0.5429
3.11371e-008,0.6337
3.11738e-008,0.7319
3.12104e-008,0.8263
3.12471e-008,0.9085
3.12838e-008,0.9753
3.13205e-008,1.0253
3.13571e-008,1.0567
3.13938e-008,1.0697
3.14305e-008,1.0676
3.14671e-008,1.0555
3.15038e-008,1.0387
3.15405e-008,1.0221
3.15772e-008,1.0102
3.16139e-008,1.0062
3.16505e-008,1.0111
3.16872e-008,1.0240
3.17239e-008,1.0418
3.17605e-008,1.0610
3.17972e-008,1.0785
3.18339e-008,1.0912
3.18706e-008,1.0956
3.19072e-008,1.0884
3.19439e-008,1.0678
3.19806e-008,1.0346
3.20173e-008,0.9885
3.20540e-008,0.9277
3.20906e-008,0.8514
3.21273e-008,0.7645
3.21640e-008,0.6753
