.HEADER
..NAMES
Time,V U3.G2
.DATA
3.87679e-008,0.9060
3.88065e-008,0.7890
3.88450e-008,0.6825
3.88836e-008,0.5890
3.89222e-008,0.5121
3.89607e-008,0.4538
3.89993e-008,0.4143
3.90379e-008,0.3862
3.90765e-008,0.3630
3.91151e-008,0.3465
3.91536e-008,0.3368
3.91922e-008,0.3289
3.92308e-008,0.3223
3.92693e-008,0.3189
3.93079e-008,0.3198
3.93465e-008,0.3232
3.93851e-008,0.3254
3.94237e-008,0.3253
3.94622e-008,0.3254
3.95008e-008,0.3261
3.95394e-008,0.3257
3.95780e-008,0.3244
3.96165e-008,0.3237
3.96551e-008,0.3237
3.96937e-008,0.3237
3.97322e-008,0.3232
3.97708e-008,0.3224
3.98094e-008,0.3223
3.98480e-008,0.3225
3.98866e-008,0.3221
3.99251e-008,0.3214
3.99637e-008,0.3212
4.00023e-008,0.3214
4.00408e-008,0.3214
4.00794e-008,0.3213
4.01180e-008,0.3212
4.01566e-008,0.3213
4.01952e-008,0.3214
4.02337e-008,0.3212
4.02723e-008,0.3210
4.03109e-008,0.3211
4.03494e-008,0.3212
4.03880e-008,0.3213
4.04266e-008,0.3232
4.04652e-008,0.3319
4.05037e-008,0.3578
4.05423e-008,0.4145
4.05809e-008,0.5074
4.06195e-008,0.6272
4.06581e-008,0.7449
4.06966e-008,0.8379
4.07352e-008,0.9075
4.07738e-008,0.9661
4.08123e-008,1.0178
4.08509e-008,1.0605
4.08895e-008,1.0922
4.09281e-008,1.1141
4.09667e-008,1.1310
4.10052e-008,1.1435
4.10438e-008,1.1518
4.10824e-008,1.1591
