.HEADER
..NAMES
Time,V U1.AC10&AB10
.DATA
3.17858e-008,0.4832
3.18244e-008,0.6155
3.18629e-008,0.7057
3.19015e-008,0.7719
3.19401e-008,0.8100
3.19787e-008,0.8072
3.20173e-008,0.7527
3.20558e-008,0.6143
3.20944e-008,0.3851
3.21330e-008,0.1144
3.21715e-008,-0.1634
3.22101e-008,-0.3897
3.22487e-008,-0.5456
3.22873e-008,-0.6495
3.23259e-008,-0.7047
3.23644e-008,-0.7316
3.24030e-008,-0.7534
3.24416e-008,-0.7539
3.24801e-008,-0.7025
3.25187e-008,-0.5797
3.25573e-008,-0.3879
3.25959e-008,-0.1562
3.26344e-008,0.0756
3.26730e-008,0.2751
3.27116e-008,0.4362
3.27502e-008,0.5769
3.27888e-008,0.6830
3.28273e-008,0.7405
3.28659e-008,0.8056
3.29045e-008,0.8138
3.29430e-008,0.7763
3.29816e-008,0.6699
3.30202e-008,0.4638
3.30588e-008,0.2019
3.30974e-008,-0.0770
3.31359e-008,-0.3266
3.31745e-008,-0.5024
3.32131e-008,-0.6218
3.32516e-008,-0.6921
3.32902e-008,-0.7224
3.33288e-008,-0.7519
3.33674e-008,-0.7555
3.34060e-008,-0.7254
3.34445e-008,-0.6276
3.34831e-008,-0.4532
3.35217e-008,-0.2319
3.35603e-008,0.0042
3.35988e-008,0.2170
3.36374e-008,0.3879
3.36760e-008,0.5351
3.37145e-008,0.6546
3.37531e-008,0.7267
3.37917e-008,0.7953
3.38303e-008,0.8130
3.38689e-008,0.7937
3.39074e-008,0.7146
3.39460e-008,0.5377
3.39846e-008,0.2881
3.40231e-008,0.0117
3.40617e-008,-0.2557
3.41003e-008,-0.4539
3.41389e-008,-0.5895
3.41775e-008,-0.6753
3.42160e-008,-0.7155
3.42546e-008,-0.7462
3.42932e-008,-0.7506
3.43318e-008,-0.7424
3.43703e-008,-0.6675
3.44089e-008,-0.5151
3.44475e-008,-0.3066
3.44860e-008,-0.0693
3.45246e-008,0.1545
3.45632e-008,0.3373
3.46018e-008,0.4906
3.46404e-008,0.6212
3.46789e-008,0.7090
3.47175e-008,0.7731
3.47561e-008,0.8099
3.47946e-008,0.8050
3.48332e-008,0.7479
3.48718e-008,0.6046
3.49104e-008,0.3714
3.49490e-008,0.1002
3.49875e-008,-0.1766
3.50261e-008,-0.3993
3.50647e-008,-0.5518
3.51032e-008,-0.6533
3.51418e-008,-0.7064
3.51804e-008,-0.7354
3.52190e-008,-0.7540
3.52575e-008,-0.7542
3.52961e-008,-0.6990
3.53347e-008,-0.5714
3.53733e-008,-0.3777
3.54119e-008,-0.1439
3.54504e-008,0.0871
3.54890e-008,0.2839
3.55276e-008,0.4439
3.55661e-008,0.5834
3.56047e-008,0.6872
3.56433e-008,0.7426
3.56819e-008,0.8058
3.57205e-008,0.8121
3.57590e-008,0.7724
3.57976e-008,0.6616
3.58362e-008,0.4509
3.58747e-008,0.1879
3.59133e-008,-0.0912
3.59519e-008,-0.3374
3.59905e-008,-0.5097
3.60290e-008,-0.6265
3.60676e-008,-0.6945
3.61062e-008,-0.7232
3.61448e-008,-0.7530
3.61834e-008,-0.7585
3.62219e-008,-0.7231
3.62605e-008,-0.6207
3.62991e-008,-0.4431
3.63376e-008,-0.2196
3.63762e-008,0.0162
3.64148e-008,0.2266
3.64534e-008,0.3956
3.64920e-008,0.5421
3.65305e-008,0.6596
3.65691e-008,0.7294
3.66077e-008,0.7960
3.66462e-008,0.8117
3.66848e-008,0.7905
3.67234e-008,0.7079
3.67620e-008,0.5261
3.68006e-008,0.2742
3.68391e-008,-0.0027
3.68777e-008,-0.2679
3.69163e-008,-0.4622
3.69549e-008,-0.5949
3.69934e-008,-0.6784
3.70320e-008,-0.7166
3.70706e-008,-0.7484
3.71091e-008,-0.7502
3.71477e-008,-0.7410
3.71863e-008,-0.6622
3.72249e-008,-0.5056
3.72635e-008,-0.2949
3.73020e-008,-0.0570
3.73406e-008,0.1650
3.73792e-008,0.3453
3.74177e-008,0.4980
3.74563e-008,0.6271
3.74949e-008,0.7122
3.75335e-008,0.7792
3.75721e-008,0.8105
3.76106e-008,0.8039
3.76492e-008,0.7434
3.76878e-008,0.5941
3.77263e-008,0.3585
3.77649e-008,0.0859
3.78035e-008,-0.1902
3.78421e-008,-0.4086
3.78806e-008,-0.5585
3.79192e-008,-0.6574
3.79578e-008,-0.7080
3.79964e-008,-0.7360
3.80350e-008,-0.7532
3.80735e-008,-0.7515
3.81121e-008,-0.6937
3.81507e-008,-0.5626
3.81892e-008,-0.3662
3.82278e-008,-0.1321
3.82664e-008,0.0981
3.83050e-008,0.2931
3.83436e-008,0.4515
3.83821e-008,0.5897
3.84207e-008,0.6908
3.84593e-008,0.7519
3.84978e-008,0.8078
3.85364e-008,0.8124
3.85750e-008,0.7695
3.86136e-008,0.6530
3.86521e-008,0.4387
3.86907e-008,0.1736
3.87293e-008,-0.1055
3.87679e-008,-0.3478
3.88065e-008,-0.5171
3.88450e-008,-0.6311
3.88836e-008,-0.6968
3.89222e-008,-0.7244
3.89607e-008,-0.7528
3.89993e-008,-0.7564
3.90379e-008,-0.7187
3.90765e-008,-0.6130
3.91151e-008,-0.4323
3.91536e-008,-0.2074
3.91922e-008,0.0275
3.92308e-008,0.2364
3.92693e-008,0.4036
3.93079e-008,0.5489
3.93465e-008,0.6642
3.93851e-008,0.7316
3.94237e-008,0.7993
