.HEADER
..NAMES
Time,V U1.AA9
.DATA
3.92693e-008,0.3253
3.93079e-008,0.3241
3.93465e-008,0.3225
3.93851e-008,0.3201
3.94237e-008,0.3172
3.94622e-008,0.3147
3.95008e-008,0.3134
3.95394e-008,0.3134
3.95780e-008,0.3143
3.96165e-008,0.3156
3.96551e-008,0.3163
3.96937e-008,0.3166
3.97322e-008,0.3166
3.97708e-008,0.3162
3.98094e-008,0.3159
3.98480e-008,0.3157
3.98866e-008,0.3157
3.99251e-008,0.3159
3.99637e-008,0.3161
4.00023e-008,0.3162
4.00408e-008,0.3163
4.00794e-008,0.3162
4.01180e-008,0.3160
4.01566e-008,0.3159
4.01952e-008,0.3158
4.02337e-008,0.3158
4.02723e-008,0.3159
4.03109e-008,0.3159
4.03494e-008,0.3160
4.03880e-008,0.3160
4.04266e-008,0.3160
4.04652e-008,0.3159
4.05037e-008,0.3159
4.05423e-008,0.3159
4.05809e-008,0.3159
4.06195e-008,0.3159
4.06581e-008,0.3160
4.06966e-008,0.3160
4.07352e-008,0.3160
4.07738e-008,0.3160
4.08123e-008,0.3160
4.08509e-008,0.3160
4.08895e-008,0.3160
4.09281e-008,0.3160
4.09667e-008,0.3160
4.10052e-008,0.3160
4.10438e-008,0.3160
