.HEADER
..NAMES
Time,V U1.W25
.DATA
3.42932e-008,0.3297
3.43318e-008,0.3466
3.43703e-008,0.3582
3.44089e-008,0.3609
3.44475e-008,0.3556
3.44860e-008,0.3473
3.45246e-008,0.3369
3.45632e-008,0.3262
3.46018e-008,0.3194
3.46404e-008,0.3169
3.46789e-008,0.3162
3.47175e-008,0.3156
3.47561e-008,0.3165
3.47946e-008,0.3175
3.48332e-008,0.3171
3.48718e-008,0.3156
3.49104e-008,0.3146
3.49490e-008,0.3139
3.49875e-008,0.3130
3.50261e-008,0.3124
3.50647e-008,0.3127
3.51032e-008,0.3134
3.51418e-008,0.3138
3.51804e-008,0.3143
3.52190e-008,0.3146
3.52575e-008,0.3146
3.52961e-008,0.3143
3.53347e-008,0.3143
3.53733e-008,0.3142
3.54119e-008,0.3142
3.54504e-008,0.3203
3.54890e-008,0.3414
3.55276e-008,0.3955
3.55661e-008,0.4971
3.56047e-008,0.6394
3.56433e-008,0.7953
3.56819e-008,0.9132
3.57205e-008,0.9923
3.57590e-008,1.0434
3.57976e-008,1.0791
3.58362e-008,1.1079
3.58747e-008,1.1365
3.59133e-008,1.1595
3.59519e-008,1.1736
3.59905e-008,1.1799
3.60290e-008,1.1807
3.60676e-008,1.1763
3.61062e-008,1.1670
3.61448e-008,1.1561
3.61834e-008,1.1462
3.62219e-008,1.1424
3.62605e-008,1.1462
3.62991e-008,1.1547
3.63376e-008,1.1629
3.63762e-008,1.1763
3.64148e-008,1.1870
3.64534e-008,1.1825
3.64920e-008,1.1401
3.65305e-008,1.0356
3.65691e-008,0.8878
3.66077e-008,0.7399
3.66462e-008,0.6031
3.66848e-008,0.4931
3.67234e-008,0.4191
3.67620e-008,0.3747
3.68006e-008,0.3467
3.68391e-008,0.3287
3.68777e-008,0.3158
3.69163e-008,0.3054
3.69549e-008,0.2977
3.69934e-008,0.2962
3.70320e-008,0.3023
3.70706e-008,0.3154
3.71091e-008,0.3333
3.71477e-008,0.3493
3.71863e-008,0.3576
3.72249e-008,0.3579
3.72635e-008,0.3540
3.73020e-008,0.3476
3.73406e-008,0.3464
3.73792e-008,0.3679
3.74177e-008,0.4344
3.74563e-008,0.5510
3.74949e-008,0.7023
3.75335e-008,0.8457
3.75721e-008,0.9488
3.76106e-008,1.0175
3.76492e-008,1.0615
3.76878e-008,1.0920
3.77263e-008,1.1194
3.77649e-008,1.1459
3.78035e-008,1.1644
3.78421e-008,1.1751
3.78806e-008,1.1793
3.79192e-008,1.1788
3.79578e-008,1.1728
3.79964e-008,1.1633
3.80350e-008,1.1524
3.80735e-008,1.1439
3.81121e-008,1.1431
3.81507e-008,1.1493
3.81892e-008,1.1580
3.82278e-008,1.1650
3.82664e-008,1.1716
3.83050e-008,1.1774
3.83436e-008,1.1801
3.83821e-008,1.1802
3.84207e-008,1.1803
3.84593e-008,1.1816
3.84978e-008,1.1822
3.85364e-008,1.1821
3.85750e-008,1.1821
3.86136e-008,1.1832
3.86521e-008,1.1845
3.86907e-008,1.1852
3.87293e-008,1.1853
3.87679e-008,1.1853
3.88065e-008,1.1851
3.88450e-008,1.1848
3.88836e-008,1.1844
3.89222e-008,1.1841
3.89607e-008,1.1842
3.89993e-008,1.1846
3.90379e-008,1.1847
3.90765e-008,1.1844
3.91151e-008,1.1843
3.91536e-008,1.1847
3.91922e-008,1.1892
3.92308e-008,1.1933
3.92693e-008,1.1842
3.93079e-008,1.1390
3.93465e-008,1.0328
3.93851e-008,0.8845
3.94237e-008,0.7358
3.94622e-008,0.5997
3.95008e-008,0.4916
3.95394e-008,0.4183
3.95780e-008,0.3733
3.96165e-008,0.3449
3.96551e-008,0.3270
3.96937e-008,0.3143
3.97322e-008,0.3044
3.97708e-008,0.2972
3.98094e-008,0.2963
3.98480e-008,0.3028
3.98866e-008,0.3161
3.99251e-008,0.3338
3.99637e-008,0.3492
4.00023e-008,0.3573
4.00408e-008,0.3576
4.00794e-008,0.3534
4.01180e-008,0.3453
4.01566e-008,0.3342
4.01952e-008,0.3247
4.02337e-008,0.3196
4.02723e-008,0.3177
4.03109e-008,0.3161
4.03494e-008,0.3155
4.03880e-008,0.3164
4.04266e-008,0.3169
4.04652e-008,0.3165
4.05037e-008,0.3153
4.05423e-008,0.3142
4.05809e-008,0.3133
4.06195e-008,0.3128
4.06581e-008,0.3124
4.06966e-008,0.3125
4.07352e-008,0.3130
4.07738e-008,0.3138
4.08123e-008,0.3143
4.08509e-008,0.3142
4.08895e-008,0.3140
4.09281e-008,0.3141
4.09667e-008,0.3142
4.10052e-008,0.3139
4.10438e-008,0.3145
4.10824e-008,0.3213
