.HEADER
..NAMES
Time,V U1.AA25&AA24
.DATA
3.78806e-008,-0.6053
3.79192e-008,-0.7009
3.79578e-008,-0.7474
3.79964e-008,-0.7680
3.80350e-008,-0.7727
3.80735e-008,-0.7317
3.81121e-008,-0.6835
3.81507e-008,-0.5500
3.81892e-008,-0.3513
3.82278e-008,-0.1244
3.82664e-008,0.1178
3.83050e-008,0.3316
3.83436e-008,0.4762
3.83821e-008,0.5958
3.84207e-008,0.6832
3.84593e-008,0.7356
3.84978e-008,0.7988
3.85364e-008,0.8085
3.85750e-008,0.7818
3.86136e-008,0.6775
3.86521e-008,0.4742
3.86907e-008,0.2015
3.87293e-008,-0.0979
3.87679e-008,-0.3729
3.88065e-008,-0.5616
3.88450e-008,-0.6766
3.88836e-008,-0.7376
3.89222e-008,-0.7595
3.89607e-008,-0.7768
3.89993e-008,-0.7495
3.90379e-008,-0.7101
3.90765e-008,-0.6011
3.91151e-008,-0.4178
3.91536e-008,-0.1982
3.91922e-008,0.0409
3.92308e-008,0.2714
3.92693e-008,0.4351
3.93079e-008,0.5604
3.93465e-008,0.6603
3.93851e-008,0.7172
3.94237e-008,0.7857
3.94622e-008,0.8109
